url,target,description
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/002/SRR8667692/SRR8667692_2.fastq.gz,data/seaweed/raw/a3.d20_R2.fastq,reverse reads for a3.d20
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/005/SRR8667695/SRR8667695_2.fastq.gz,data/seaweed/raw/a3.d31_R2.fastq,reverse reads for a3.d31
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/004/SRR8667694/SRR8667694_2.fastq.gz,data/seaweed/raw/a3.d35_R2.fastq,reverse reads for a3.d35
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/009/SRR8667689/SRR8667689_2.fastq.gz,data/seaweed/raw/a3.d41_R2.fastq,reverse reads for a3.d41
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/008/SRR8667688/SRR8667688_2.fastq.gz,data/seaweed/raw/a4.d31_R2.fastq,reverse reads for a4.d31
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/001/SRR8667691/SRR8667691_2.fastq.gz,data/seaweed/raw/a5.d31_R2.fastq,reverse reads for a5.d31
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/000/SRR8667690/SRR8667690_2.fastq.gz,data/seaweed/raw/a6.d31_R2.fastq,reverse reads for a6.d31
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/007/SRR8667697/SRR8667697_2.fastq.gz,data/seaweed/raw/a7.d31_R2.fastq,reverse reads for a7.d31
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/006/SRR8667696/SRR8667696_2.fastq.gz,data/seaweed/raw/a8.d31_R2.fastq,reverse reads for a8.d31
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/000/SRR8667680/SRR8667680_2.fastq.gz,data/seaweed/raw/b1.d1_R2.fastq,reverse reads for b1.d1
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/001/SRR8667681/SRR8667681_2.fastq.gz,data/seaweed/raw/b1.d20_R2.fastq,reverse reads for b1.d20
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/002/SRR8667682/SRR8667682_2.fastq.gz,data/seaweed/raw/b1.d31_R2.fastq,reverse reads for b1.d31
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/003/SRR8667683/SRR8667683_2.fastq.gz,data/seaweed/raw/b1.d35_R2.fastq,reverse reads for b1.d35
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/004/SRR8667684/SRR8667684_2.fastq.gz,data/seaweed/raw/b1.d41_R2.fastq,reverse reads for b1.d41
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/005/SRR8667685/SRR8667685_2.fastq.gz,data/seaweed/raw/b2.d1_R2.fastq,reverse reads for b2.d1
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/006/SRR8667686/SRR8667686_2.fastq.gz,data/seaweed/raw/b2.d20_R2.fastq,reverse reads for b2.d20
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/007/SRR8667687/SRR8667687_2.fastq.gz,data/seaweed/raw/b2.d31_R2.fastq,reverse reads for b2.d31
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/008/SRR8667678/SRR8667678_2.fastq.gz,data/seaweed/raw/b2.d35_R2.fastq,reverse reads for b2.d35
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/009/SRR8667679/SRR8667679_2.fastq.gz,data/seaweed/raw/b2.d41_R2.fastq,reverse reads for b2.d41
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/007/SRR8667677/SRR8667677_2.fastq.gz,data/seaweed/raw/b3.d1_R2.fastq,reverse reads for b3.d1
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/006/SRR8667676/SRR8667676_2.fastq.gz,data/seaweed/raw/b3.d20_R2.fastq,reverse reads for b3.d20
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/005/SRR8667675/SRR8667675_2.fastq.gz,data/seaweed/raw/b3.d31_R2.fastq,reverse reads for b3.d31
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/004/SRR8667674/SRR8667674_2.fastq.gz,data/seaweed/raw/b3.d35_R2.fastq,reverse reads for b3.d35
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/003/SRR8667673/SRR8667673_2.fastq.gz,data/seaweed/raw/b3.d41_R2.fastq,reverse reads for b3.d41
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/002/SRR8667672/SRR8667672_2.fastq.gz,data/seaweed/raw/b4.d31_R2.fastq,reverse reads for b4.d31
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/001/SRR8667671/SRR8667671_2.fastq.gz,data/seaweed/raw/b5.d31_R2.fastq,reverse reads for b5.d31
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/000/SRR8667670/SRR8667670_2.fastq.gz,data/seaweed/raw/b6.d31_R2.fastq,reverse reads for b6.d31
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/009/SRR8667669/SRR8667669_2.fastq.gz,data/seaweed/raw/c1.d1_R2.fastq,reverse reads for c1.d1
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/008/SRR8667668/SRR8667668_2.fastq.gz,data/seaweed/raw/c1.d20_R2.fastq,reverse reads for c1.d20
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/006/SRR8667726/SRR8667726_2.fastq.gz,data/seaweed/raw/c1.d31_R2.fastq,reverse reads for c1.d31
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/007/SRR8667727/SRR8667727_2.fastq.gz,data/seaweed/raw/c1.d35_R2.fastq,reverse reads for c1.d35
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/004/SRR8667724/SRR8667724_2.fastq.gz,data/seaweed/raw/c1.d41_R2.fastq,reverse reads for c1.d41
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/005/SRR8667725/SRR8667725_2.fastq.gz,data/seaweed/raw/c2.d1_R2.fastq,reverse reads for c2.d1
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/006/SRR8667666/SRR8667666_2.fastq.gz,data/seaweed/raw/c2.d20_R2.fastq,reverse reads for c2.d20
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/007/SRR8667667/SRR8667667_2.fastq.gz,data/seaweed/raw/c2.d31_R2.fastq,reverse reads for c2.d31
