url,target,description
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/006/SRR8664616/SRR8664616_1.fastq.gz,data/duration/raw/2C-03-03-16_R1_001.fastq.gz,forward reads for 2C-03-03-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/003/SRR8664613/SRR8664613_1.fastq.gz,data/duration/raw/2C-03-04-16_R1_001.fastq.gz,forward reads for 2C-03-04-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/003/SRR8664593/SRR8664593_1.fastq.gz,data/duration/raw/2C-03-06-16_R1_001.fastq.gz,forward reads for 2C-03-06-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/004/SRR8664594/SRR8664594_1.fastq.gz,data/duration/raw/2C-03-08-16_R1_001.fastq.gz,forward reads for 2C-03-08-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/001/SRR8664591/SRR8664591_1.fastq.gz,data/duration/raw/2C-03-10-16_R1_001.fastq.gz,forward reads for 2C-03-10-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/002/SRR8664592/SRR8664592_1.fastq.gz,data/duration/raw/2C-03-12-16_R1_001.fastq.gz,forward reads for 2C-03-12-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/007/SRR8664597/SRR8664597_1.fastq.gz,data/duration/raw/2C-04-05-16_R1_001.fastq.gz,forward reads for 2C-04-05-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/008/SRR8664598/SRR8664598_1.fastq.gz,data/duration/raw/2D-03-03-16_R1_001.fastq.gz,forward reads for 2D-03-03-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/005/SRR8664595/SRR8664595_1.fastq.gz,data/duration/raw/2D-03-04-16_R1_001.fastq.gz,forward reads for 2D-03-04-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/006/SRR8664596/SRR8664596_1.fastq.gz,data/duration/raw/2D-03-06-16_R1_001.fastq.gz,forward reads for 2D-03-06-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/005/SRR8664585/SRR8664585_1.fastq.gz,data/duration/raw/2D-03-08-16_R1_001.fastq.gz,forward reads for 2D-03-08-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/006/SRR8664586/SRR8664586_1.fastq.gz,data/duration/raw/2D-03-10-16_R1_001.fastq.gz,forward reads for 2D-03-10-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/008/SRR8664628/SRR8664628_1.fastq.gz,data/duration/raw/2D-03-12-16_R1_001.fastq.gz,forward reads for 2D-03-12-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/007/SRR8664627/SRR8664627_1.fastq.gz,data/duration/raw/2D-04-05-16_R1_001.fastq.gz,forward reads for 2D-04-05-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/000/SRR8664630/SRR8664630_1.fastq.gz,data/duration/raw/4A-03-03-16_R1_001.fastq.gz,forward reads for 4A-03-03-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/009/SRR8664629/SRR8664629_1.fastq.gz,data/duration/raw/4A-03-04-16_R1_001.fastq.gz,forward reads for 4A-03-04-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/002/SRR8664632/SRR8664632_1.fastq.gz,data/duration/raw/4A-03-08-16_R1_001.fastq.gz,forward reads for 4A-03-08-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/001/SRR8664631/SRR8664631_1.fastq.gz,data/duration/raw/4A-03-10-16_R1_001.fastq.gz,forward reads for 4A-03-10-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/004/SRR8664634/SRR8664634_1.fastq.gz,data/duration/raw/4A-03-12-16_R1_001.fastq.gz,forward reads for 4A-03-12-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/003/SRR8664633/SRR8664633_1.fastq.gz,data/duration/raw/4A-03-14-16_R1_001.fastq.gz,forward reads for 4A-03-14-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/006/SRR8664626/SRR8664626_1.fastq.gz,data/duration/raw/4A-04-05-16_R1_001.fastq.gz,forward reads for 4A-04-05-16
